
    # |      % | total% | amount | word
 ---------------------------------------
  133 |  0.087 | 56.265 |   1722 | hand 
  134 |  0.086 | 56.352 |   1711 | ever 
  135 |  0.085 | 56.437 |   1685 | last 
  136 |  0.085 | 56.521 |   1684 | himself 
  137 |  0.084 | 56.606 |   1677 | every 
  138 |  0.084 | 56.690 |   1673 | thought 
  139 |  0.084 | 56.774 |   1666 | off 
  140 |  0.082 | 56.856 |   1633 | got 
  141 |  0.082 | 56.939 |   1632 | being 
  142 |  0.082 | 57.020 |   1621 | many 
  143 |  0.081 | 57.102 |   1611 | just 
  144 |  0.081 | 57.183 |   1610 | nothing 
  145 |  0.081 | 57.264 |   1609 | eyes 
  146 |  0.081 | 57.344 |   1602 | don't 
  147 |  0.080 | 57.424 |   1579 | seemed 
  148 |  0.080 | 57.504 |   1579 | look 
  149 |  0.079 | 57.582 |   1559 | men 
  150 |  0.078 | 57.660 |   1553 | while 
  151 |  0.078 | 57.738 |   1544 | looked 
  152 |  0.076 | 57.815 |   1518 | face 
  153 |  0.075 | 57.890 |   1496 | those 
  154 |  0.075 | 57.965 |   1494 | get 
  155 |  0.075 | 58.041 |   1493 | head 
  156 |  0.075 | 58.115 |   1481 | tell 
  157 |  0.074 | 58.190 |   1477 | take 
  158 |  0.074 | 58.263 |   1459 | mrs 
  159 |  0.072 | 58.335 |   1426 | night 
  160 |  0.071 | 58.406 |   1412 | let 
  161 |  0.071 | 58.477 |   1404 | once 
  162 |  0.070 | 58.546 |   1382 | under 
  163 |  0.069 | 58.616 |   1376 | house 
  164 |  0.069 | 58.685 |   1366 | room 
  165 |  0.069 | 58.753 |   1365 | saw 
  166 |  0.069 | 58.822 |   1365 | found 
  167 |  0.067 | 58.889 |   1322 | miss 
  168 |  0.066 | 58.955 |   1319 | right 
  169 |  0.066 | 59.021 |   1311 | things 
  170 |  0.066 | 59.087 |   1309 | door 
  171 |  0.064 | 59.152 |   1276 | took 
  172 |  0.063 | 59.215 |   1250 | another 
  173 |  0.063 | 59.278 |   1249 | jo 
  174 |  0.063 | 59.340 |   1247 | because 
  175 |  0.063 | 59.403 |   1242 | why 
  176 |  0.062 | 59.465 |   1238 | heard 
  177 |  0.062 | 59.527 |   1229 | new 
  178 |  0.062 | 59.589 |   1221 | put 
  179 |  0.061 | 59.650 |   1219 | young 
  180 |  0.061 | 59.711 |   1211 | soon 
  181 |  0.061 | 59.772 |   1206 | always 
